연번,시도,시군구,선별진료소,전화번호,검체가능,위도,경도
1,서울,강남구,강남구보건소,02-3423-5555,Y,,
2,서울,강남구,삼성서울병원,02-3410-2114,Y,,
3,서울,강남구,연세대학교의과대학강남세브란스병원,02-2019-3114,Y,,
4,서울,강동구,강동경희대학교의대병원,02-440-7000,Y,,
5,서울,강동구,강동구보건소,02-3425-8565,Y,,
6,서울,강동구,한국보훈복지의료공단중앙보훈병원,02-2225-1114,Y,,
7,서울,강북구,강북구보건소,02-901-7706 02-901-7704,Y,,
8,서울,강서구,강서구보건소,02-2600-5868,Y,,
9,서울,강서구,이화여자대학교의과대학부속서울병원,1522-7000,Y,,
10,서울,관악구,관악구보건소,02-879-7131,Y,,
11,서울,관악구,에이치플러스양지병원,02-1877-8875,Y,,
12,서울,광진구,광진구보건소,02-450-1937,Y,,
13,서울,광진구,광진구보건소 자양보건지소,02-450-7090,N,,
14,서울,광진구,건국대학교병원,02-1588-1533,Y,,
15,서울,구로구,구로구보건소,02-860-2013~2015,Y,,
16,서울,구로구,고려대학교의과대학부속구로병원,02-2626-1114,Y,,
17,서울,구로구,구로성심병원,02-2067-1500,Y,,
18,서울,금천구,금천구보건소,02-2627-2717,Y,,
19,서울,금천구,희명병원,02-2219-7231,Y,,
20,서울,노원구,노원구보건소,02-2116-4342~4,Y,,
21,서울,노원구,노원을지대학교병원,02-970-8000,Y,,
22,서울,노원구,인제대학교상계백병원,02-950-1114,Y,,
23,서울,도봉구,도봉구보건소,02-2091-4483,Y,,
24,서울,동대문구,동대문구보건소,02-2127-4283,Y,,
25,서울,동대문구,경희대학교병원,02-958-8114,Y,,
26,서울,동대문구,삼육서울병원,1577-3675,Y,,
27,서울,동대문구,서울특별시동부병원,02-920-9118~9,Y,,
28,서울,동대문구,서울성심병원,02-966-1616,Y,,
29,서울,동작구,동작구보건소,02-820-9465,Y,,
30,서울,동작구,보라매병원,02-870-2114,Y,,
31,서울,마포구,마포구보건소,02-3153-9004~7,Y,,
32,서울,서대문구,서대문구보건소,02-330-8726,Y,,
33,서울,서대문구,학교법인연세대학교의과대학세브란스병원,1599-1004,Y,,
34,서울,서초구,서초구보건소,02-2155-8093,Y,,
35,서울,서초구,학교법인가톨릭학원가톨릭대학교서울성모병원,02-1588-1511,Y,,
36,서울,서초구,서울특별시 어린이병원,02-570-8000,Y,,
37,서울,성동구,성동구보건소,02-2286-7172,Y,,
38,서울,성동구,한양대학교병원,02-2290-8114,Y,,
39,서울,성동구,성동군자의원,02-499-7785,Y,,
40,서울,성북구,성북구보건소,02-2241-6022,Y,,
41,서울,성북구,(학)고려대학교의과대학부속병원(안암병원),02-1577-0083,Y,,
42,서울,송파구,송파구보건소,02-2147-3478~9,Y,,
43,서울,송파구,재단법인아산사회복지재단서울아산병원,02-3010-3114,Y,,
44,서울,송파구,경찰병원,"02-3400-1114
(야간 및 주말 미운영)",Y,,
45,서울,양천구,양천구보건소,02-2620-3856,Y,,
46,서울,양천구,서울특별시 서남병원,1566-6688,Y,,
47,서울,양천구,이화여자대학교의과대학부속목동병원,02-1666-5000,Y,,
48,서울,양천구,홍익병원,02-2600-0620,Y,,
49,서울,영등포구,영등포구보건소,02-2670-4953,Y,,
50,서울,영등포구,한림대학교강남성심병원,02-829-5114,Y,,
51,서울,영등포구,가톨릭대학교 여의도성모병원,02-1661-7575,Y,,
52,서울,영등포구,성애의료재단성애병원,02-840-7114,Y,,
53,서울,영등포구,명지성모병원,02-829-7800,N,,
54,서울,용산구,용산구보건소,"02-2199-8378, 8379",Y,,
55,서울,용산구,순천향대학교 부속 서울병원,02-709-9114,Y,,
56,서울,은평구,은평구보건소,02-351-8640,Y,,
57,서울,은평구,서울특별시립 서북병원,02-3156-3022,Y,,
58,서울,은평구,서울특별시 은평병원,02-300-8060,Y,,
59,서울,은평구,가톨릭대학교 은평성모병원,02-958-2114,Y,,
60,서울,은평구,청구성심병원,383-0129,Y,,
61,서울,종로구,종로구보건소,02-2148-3557,Y,,
62,서울,종로구,강북삼성병원,02-2001-2001,Y,,
63,서울,종로구,서울적십자병원,02-2002-8650,Y,,
64,서울,종로구,서울지구병원,02-397-2018,Y,,
65,서울,중구,인제대학교서울백병원,02-2270-0114,Y,,
66,서울,중구,중구보건소,02-3396-5181,Y,,
67,서울,중랑구,중랑구보건소,02-2094-0800,Y,,
68,서울,중랑구,서울의료원,02-2276-8333,Y,,
69,부산,강서구,강서구보건소,051-970-3415,Y,,
70,부산,강서구,갑을녹산병원,051-974-8449,Y,,
71,부산,금정구,금정구보건소,051-519-5051,Y,,
72,부산,금정구,세웅병원,051-500-9700,Y,,
73,부산,기장군,동남권원자력의원,051-720-5114,Y,,
74,부산,기장군,기장군보건소,051-709-4796,Y,,
75,부산,기장군,기장병원,051-723-0171,N,,
76,부산,남구,남구 보건소,051-607-6460,Y,,
77,부산,남구,부산성모병원,051-933-7119,Y,,
78,부산,동구,봉생병원,051-664-4000,Y,,
79,부산,동구,동구보건소,051-440-6500,Y,,
80,부산,동구,좋은문화병원,051-644-2002,Y,,
81,부산,동래구,대동병원,051-554-1233,Y,,
82,부산,동래구,동래구보건소,051-555-4000,Y,,
83,부산,부산진구,인제대학교부산백병원,051-890-8933,Y,,
84,부산,부산진구,부산진구보건소,051-645-4000,Y,,
85,부산,부산진구,온종합병원,051-607-0139,N,,
86,부산,부산진구,동의병원,051-850-8777,N,,
87,부산,부산진구,춘해병원,051-608-0119,N,,
88,부산,북구,북구보건소,051-309-4500,Y,,
89,부산,북구,의료법인 인당의료재단 부민병원,051-330-3298~9,Y,,
90,부산,북구,구포성심병원,051-330-2001,N,,
91,부산,사상구,사상구보건소,051-310-4791,Y,,
92,부산,사상구,좋은삼선병원,051-322-0900,Y,,
93,부산,사상구,부산보훈병원,051-601-6000,Y,,
94,부산,사하구,사하구보건소,051-220-5741,Y,,
95,부산,서구,서구 보건소,051-242-4000,Y,,
96,부산,서구,동아대학교병원,051-240-2400,Y,,
97,부산,서구,고신대학교복음병원,051-990-3233,Y,,
98,부산,서구,삼육부산병원,051-600-7575,Y,,
99,부산,수영구,좋은강안병원,051-625-0900,Y,,
100,부산,수영구,수영구보건소,051-752-4000,Y,,
101,부산,수영구,비에이치한서병원,051-756-0081,Y,,
102,부산,연제구,연제구보건소,051-665-4781,Y,,
103,부산,영도구,영도구보건소,051-419-4931,Y,,
104,부산,영도구,영도병원,051-419-7881,Y,,
105,부산,영도구,해동병원,051-410-6682,Y,,
106,부산,중구,중구 보건소,051-600-4741,Y,,
107,부산,중구,메리놀병원,"(주간) 051- 461-2348
(야간) 051- 461-2300",Y,,
108,부산,해운대구,해운대구보건소,051-746-4000,Y,,
109,부산,해운대구,해운대부민병원,051-602-8000,Y,,
110,부산,해운대구,인제대학교해운대백병원,051-797-0119,Y,,
111,대구,남구,영남대학교병원,"053-623-8001
053-620-3332",Y,,
112,대구,남구,대구 가톨릭대학교병원,053-650-3000,Y,,
113,대구,남구,남구보건소,"053-664-3582
053-664-3583",Y,,
114,대구,남구,드림병원,053-640-8800,Y,,
115,대구,달서구,달서구보건소,"053-667-5754
053-667-3123",Y,,
116,대구,달서구,계명대학교 동산병원,053-258-6879,Y,,
117,대구,달서구,의료법인구의료재단 구병원,053-560-9114,Y,,
118,대구,달서구,삼일병원,053-659-3100,Y,,
119,대구,달서구,세강병원,053-215-6200,Y,,
120,대구,달성군,달성군보건소,"053-668-3121
053-668-3114",Y,,
121,대구,동구,대구파티마병원,"1688-7770
053-940-7098",Y,,
122,대구,동구,동구보건소,"053-662-3225
053-662-3274",Y,,
123,대구,북구,북구보건소,"053-665-2756
053-665-2760",Y,,
124,대구,북구,대구가톨릭대학교 칠곡가톨릭병원,053-320-2186,Y,,
125,대구,서구,서구보건소,"053-663-3176, 053-663-3178",Y,,
126,대구,수성구,수성구보건소,"053-666-3264, 053-666-3266",Y,,
127,대구,중구,중구보건소,"053-661-3804, 053-661-3826",Y,,
128,인천,강화군,강화군보건소,032-930-4081,Y,,
129,인천,강화군,비에스종합병원,032-290-0001,Y,,
130,인천,계양구,한림병원,032-540-9114,Y,,
131,인천,계양구,메디플렉스 세종병원,032-240-8000,Y,,
132,인천,계양구,계양구보건소,032-430-7821,Y,,
